Took,Over,Draft Round,Edge,Result,Account
Bandit,Electro Spirit,1,-0.078,Win,#9RG0VPUVY
Ram Rider,Heal Spirit,1,-0.078,Win,#9RG0VPUVY
Ram Rider,Heal Spirit,4,-0.078,Win,#9RG0VPUVY
Mortar,Ice Spirit,2,-0.076,Loss,#9RG0VPUVY
Furnace,Witch,1,-0.076,Loss,#9RG0VPUVY
Rage,Ram Rider,4,-0.075,Win,#9RQ8YRYQL
Night Witch,Mortar,4,-0.075,Win,#9RG0VPUVY
Goblin Giant,Valkyrie,1,-0.075,Loss,#9RG0VPUVY
Bandit,Ice Spirit,4,-0.074,Loss,#9RG0VPUVY
Bandit,Ice Spirit,3,-0.074,Loss,#9RG0VPUVY
P.E.K.K.A,Executioner,3,-0.072,Win,#9RG0VPUVY
P.E.K.K.A,Wizard,2,-0.071,Win,#9RG0VPUVY
Rune Giant,Mortar,4,-0.070,Win,#9RQ8YRYQL
Barbarian Hut,Knight,2,-0.070,Win,#9RG0VPUVY
Executioner,Rascals,2,-0.070,Win,#9RG0VPUVY
Rune Giant,Inferno Dragon,4,-0.069,Win,#9RG0VPUVY
Ronin,Fisherman,4,-0.069,Win,#9RG0VPUVY
Ronin,Flying Machine,1,-0.069,Win,#9RG0VPUVY
Vines,Barbarian Barrel,4,-0.067,Win,#9RG0VPUVY
Wizard,Three Musketeers,2,-0.064,Win,#9RG0VPUVY
Executioner,Three Musketeers,3,-0.063,Loss,#9RG0VPUVY
Executioner,Three Musketeers,4,-0.063,Win,#9RG0VPUVY
Knight,Electro Spirit,3,-0.058,Win,#9RQ8YRYQL
Knight,Electro Spirit,1,-0.058,Loss,#9RG0VPUVY
Knight,Electro Spirit,2,-0.058,Win,#9RG0VPUVY
Night Witch,Heal Spirit,3,-0.058,Win,#9RG0VPUVY
Night Witch,Heal Spirit,4,-0.058,Win,#9RG0VPUVY
Graveyard,Furnace,2,-0.056,Win,#9RG0VPUVY
Ronin,Valkyrie,2,-0.056,Win,#9RG0VPUVY
Firecracker,Zappies,3,-0.054,Win,#9RG0VPUVY
Electro Wizard,Skeleton Army,2,-0.054,Win,#9RQ8YRYQL
Electro Wizard,Goblin Drill,4,-0.054,Loss,#9RG0VPUVY
Mother Witch,Heal Spirit,2,-0.053,Win,#9RG0VPUVY
Royal Delivery,Zap,4,-0.053,Loss,#9RG0VPUVY
Fisherman,Heal Spirit,3,-0.052,Win,#9RG0VPUVY
P.E.K.K.A,Zap,4,-0.052,Win,#9RQ8YRYQL
Barbarian Hut,Bandit,2,-0.050,Loss,#9RG0VPUVY
Giant,Heal Spirit,1,-0.048,Loss,#9RG0VPUVY
Giant,Heal Spirit,1,-0.048,Win,#9RG0VPUVY
Baby Dragon,Arrows,1,-0.047,Loss,#9RG0VPUVY
Goblin Barrel,Goblin Drill,1,-0.047,Win,#9RG0VPUVY
Goblin Barrel,Skeleton Army,3,-0.047,Win,#9RG0VPUVY
Royal Giant,Inferno Tower,2,-0.042,Loss,#9RG0VPUVY
Mortar,Executioner,1,-0.042,Win,#9RG0VPUVY
Golem,Zappies,4,-0.042,Win,#9RG0VPUVY
Goblin Barrel,Fireball,2,-0.041,Win,#9RG0VPUVY
Rune Giant,Royal Delivery,1,-0.039,Loss,#9RG0VPUVY
Executioner,Electro Spirit,3,-0.038,Win,#9RG0VPUVY
Executioner,Electro Spirit,1,-0.038,Loss,#9RG0VPUVY
Executioner,Electro Spirit,2,-0.038,Win,#9RG0VPUVY
Electro Wizard,Barbarian Barrel,1,-0.037,Win,#9RG0VPUVY
Golem,Royal Hogs,2,-0.037,Win,#9RG0VPUVY
Ice Spirit,Rascals,3,-0.036,Loss,#9RQ8YRYQL
Poison,Goblin Barrel,4,-0.036,Win,#9RG0VPUVY
Wizard,Ice Spirit,4,-0.035,Win,#9RG0VPUVY
Graveyard,Goblin Hut,4,-0.034,Win,#9RG0VPUVY
Graveyard,Zappies,4,-0.032,Win,#9RQ8YRYQL
P.E.K.K.A,Bandit,1,-0.032,Win,#9RG0VPUVY
Graveyard,Zappies,4,-0.032,Win,#9RG0VPUVY
The Log,Skeleton Barrel,4,-0.032,Win,#9RG0VPUVY
